#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 600 847 11.97239137585333333333 .00711130119106972574 .002 .40379954906333333333 .07534388536516326027 .00047169811320754716 4.83444623877931694390 .00570480747067250202 -11469 OK|590+/-3
192-168-0-110 node-2 12 44 15 300 522 11.97215996449333333333 .00717906619629907786 .002 .35754683627000000000 .07341255645091395405 .00047169811320754716 4.28060791862294686683 .00569234029709391144 -4045 OK|289+/-2
192-168-0-110 node-2 12 44 15 300 822 11.97219260429333333333 .00718692605958046920 .002 .36156928452333333333 .07575204930469806115 .00047169811320754716 4.32877711410988332217 .00569337179351219956 -4039 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 1147 11.97221152582666666666 .00713659999963928831 .002 .36644736729333333333 .07620711304638903909 .00047169811320754716 4.38718539431808321258 .00569462803768834404 -4073 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 247 11.97216330682000000000 .00723498887025782922 .002 .35306440477000000000 .06945146175152878659 .00047169811320754716 4.22694471173163818153 .00569122261026776389 -4030 OK|290+/-2
192-168-0-110 node-2 12 44 15 300 572 11.97217721777333333333 .00713550551016611996 .002 .35817551057333333333 .07326358422873691442 .00047169811320754716 4.28814068765039300254 .00569250646037194937 -4054 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 497 11.97217412962666666666 .00725116403742989253 .002 .35665770067000000000 .07254321770170383474 .00047169811320754716 4.26996809709350545884 .00569212380621388540 -4012 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 772 11.97217630290000000000 .00724983067992633949 .002 .36145196923666666666 .07582541752769263703 .00047169811320754716 4.32736670073176046837 .00569333436977506354 -4097 OK|290+/-2
192-168-0-110 node-2 12 44 15 300 622 11.97217378984000000000 .00712727980779279915 .002 .35912806659333333333 .07426517263150490569 .00047169811320754716 4.29954362606461943137 .00569274491138432708 -4017 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 1472 11.97223838920000000000 .00713942964768024519 .002 .37117019972333333333 .07475649418246051009 .00047169811320754716 4.44373811405472255228 .00569586395396735665 -4072 OK|290+/-2
192-168-0-110 node-2 12 44 15 300 447 11.97216094418000000000 .00728608843444407419 .002 .35598985635000000000 .07232087262288175536 .00047169811320754716 4.26196785471771856854 .00569195040632627174 -4002 OK|290+/-2
192-168-0-110 node-2 12 44 15 300 397 11.97215985102000000000 .00724430647966568225 .002 .35490080407000000000 .07117993305052369196 .00047169811320754716 4.24892915758156940965 .00569167785593942500 -4001 OK|290+/-2
192-168-0-110 node-2 12 44 15 300 947 11.97220328369333333333 .00715553631153466441 .002 .36448074148333333333 .07632145673165614617 .00047169811320754716 4.36363753002974427050 .00569411931104452798 -4067 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 72 11.97213928446000000000 .00724664161148123289 .002 .35112807511000000000 .06639819630040993545 .00047169811320754716 4.20375422190125253579 .00569073216935160725 -4010 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 197 11.97215138835333333333 .00727783937096910995 .002 .35250602463000000000 .06860108825607797710 .00047169811320754716 4.22025549217696881514 .00569107857939722881 -4004 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 372 11.97215945930666666666 .00722901224914195175 .002 .35530234867000000000 .07126068301102808367 .00047169811320754716 4.25373637454341595645 .00569177788058062047 -4024 OK|290+/-1
192-168-0-110 node-2 12 44 15 300 1322 11.97224116538000000000 .00711261174513100848 .002 .36919973386333333333 .07555021915716649276 .00047169811320754716 4.42014825200593971627 .00569535297219058232 -4085 OK|290+/-1
